system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI212404.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.3 #1,OPC.AW1002.1QAI.AI212406.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI212407.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1QAI.AI212501.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CEP #1A,OPC.AW1002.1QAI.AI212701.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.8 #1,OPC.AW1002.1QAI.AI212702.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI212704.PNT,0.0,36,0
CONDENSATE SYSTEM #1,GLAND STEAM CONDENSER #1,OPC.AW1002.1QAI.AI212706.PNT,0.0,0,36
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI212707.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CEP #1B,OPC.AW1002.1QAI.AI213101.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSATE MAKE-UP SYSYEM #1,OPC.AW1002.1QAI.AI213102.PNT,17.0,36,0
FEEDWATER SYSTEM #1,M-BFP #1 ,OPC.AW1002.1QAI.AI213103.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1QAI.AI213104.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI213105.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI213107.PNT,0.0,0,36
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI213201.PNT,0.0,36,0
CONDENSATE SYSTEM #1,CONDENSER #1,OPC.AW1002.1QAI.AI213202.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,AOP DC #1,OPC.AW1002.1QAI.AI213303.PNT,17.0,0,36
LUBRICATION SUPPLY SYSTEM #1,OIL COOLER #1,OPC.AW1002.1QAI.AI213305.PNT,0.0,36,0
LUBRICATION SUPPLY SYSTEM #1,AOP AC #1,OPC.AW1002.1QAI.AI213403.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR SEAL OIL  - H2 SIDE #1A,OPC.AW1002.1QAI.AI213404.PNT,0.0,36,0
FEEDWATER SYSTEM #1,M-BFP #1 ,OPC.AW1002.1QAI.AI213406.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224102.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224103.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224104.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224105.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224106.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224107.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224108.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224201.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224202.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224203.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224204.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224205.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224206.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224207.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224208.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224301.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224302.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI224303.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224304.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224305.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224306.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224307.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224308.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224401.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224402.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224403.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224404.PNT,0.0,36,0
GENERATOR SYSTEM #1,GENERATOR  #1,OPC.AW1002.1QAI.AI224405.PNT,0.0,36,0
